angulo_braco_direito,y_punho_direito,y_ombro_direito,angulo_braco_esquerdo,y_punho_esquerdo,y_ombro_esquerdo,rotulo
170,0.7837131023406982,0.5594168305397034,171,0.7991172671318054,0.5696097016334534,correto
167,0.7963147163391113,0.5600985884666443,171,0.8047251105308533,0.5708125829696655,correto
163,0.8051797747612,0.5603505969047546,168,0.812847375869751,0.570910632610321,correto
159,0.810149073600769,0.560485303401947,164,0.8183110952377319,0.5708165168762207,correto
159,0.8139840364456177,0.5610007047653198,162,0.8243422508239746,0.5707172751426697,correto
159,0.8150078058242798,0.5612297058105469,160,0.8302931785583496,0.5706390142440796,correto
159,0.8167855143547058,0.5616132020950317,158,0.8314245343208313,0.5705883502960205,correto
159,0.8228987455368042,0.5618946552276611,156,0.8342999815940857,0.570543110370636,correto
158,0.8253688216209412,0.5620824098587036,156,0.8355773687362671,0.5705132484436035,correto
158,0.8266878128051758,0.5624505281448364,155,0.8414255380630493,0.5713161826133728,correto
157,0.8306148052215576,0.5626598000526428,154,0.8420796990394592,0.5726549029350281,correto
156,0.8354236483573914,0.5634965896606445,154,0.8428655862808228,0.5747195482254028,correto
156,0.8393315672874451,0.5655656456947327,155,0.8457076549530029,0.5766984224319458,correto
157,0.8370715975761414,0.5660330057144165,158,0.845580518245697,0.5772385001182556,correto
158,0.8354347944259644,0.5663323998451233,159,0.8450434803962708,0.5775720477104187,correto
159,0.8335267305374146,0.5665300488471985,159,0.845177412033081,0.5781298875808716,correto
159,0.8322171568870544,0.5669144988059998,160,0.8437967300415039,0.5785320997238159,correto
158,0.8314838409423828,0.5675885081291199,159,0.8437101244926453,0.5796002149581909,correto
158,0.8311396241188049,0.5687212347984314,158,0.8431934714317322,0.581336259841919,correto
157,0.8307653069496155,0.5699986219406128,158,0.8427228927612305,0.5819146037101746,correto
156,0.830687940120697,0.5712798833847046,159,0.8418399095535278,0.5824155211448669,correto
157,0.828251838684082,0.5723362565040588,159,0.8415210247039795,0.5832267999649048,correto
157,0.8246058225631714,0.5738582015037537,160,0.8397919535636902,0.5831323862075806,correto
158,0.8216806054115295,0.5749437808990479,164,0.8360695242881775,0.5833410024642944,correto
158,0.8169984817504883,0.576855480670929,166,0.8339349031448364,0.5843558311462402,correto
160,0.8096845746040344,0.5780261754989624,168,0.8293917775154114,0.5849278569221497,correto
163,0.792722225189209,0.5788338780403137,168,0.8212549686431885,0.5854207873344421,correto
164,0.7748373746871948,0.5791068077087402,169,0.8074333071708679,0.5854234099388123,correto
166,0.7606717944145203,0.5790902376174927,171,0.7978935837745667,0.5852246284484863,correto
164,0.7468910813331604,0.5789892673492432,174,0.7764450311660767,0.5854361057281494,correto
